Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2zI9NSx3dncJHCw0QClcx0,"Know Me Too Well (with Danna Paola)","New Hope Club","New Hope Club;Danna Paola",2020-02-14,200600,56,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:09Z,"","EMI",0.757,0.708,1,-4.385,0,0.0394,0.428,0,0.0635,0.798,122.916,4
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,"STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI;Justin Bieber",2021-07-09,141805,83,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:11Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:3cbE0k4dUtvDJhyHjjuDPz,"Love Again","Love Again","Dua Lipa",2021-06-04,258004,45,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:13Z,"流行樂","Warner Records",0.659,0.667,11,-4.668,0,0.0339,0.00173,0.0000285,0.1,0.468,115.982,4
spotify:track:26rdOwwjC2UnweK3xeS58u,"GDFR (feat. Sage the Gemini & Lookas)","My House","Flo Rida;Sage The Gemini;Lookas",2015-04-07,190185,76,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:17Z,"hyphy,電子陷阱音樂,未來貝斯,迴響貝斯","Poe Boy/Atlantic",0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,4
spotify:track:49dFIRQCQxPWgoH0m38XQ5,"Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album","Summer Feelings (feat. Charlie Puth)","Lennon Stella;Charlie Puth",2020-04-23,160289,60,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:20Z,"軟式流行樂","P2020",0.696,0.686,5,-6.113,0,0.0309,0.262,0,0.174,0.7,115.982,4
spotify:track:3p4WMekidOIiyf8SFvfrIC,"Memories Remix (feat. Nipsey Hussle & YG)","JORDI (Deluxe)","Maroon 5;Nipsey Hussle;YG",2021-06-11,189486,49,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:22Z,"流行樂,西岸嘻哈樂,hyphy","Interscope Records*",0.807,0.396,11,-7.415,1,0.0545,0.855,0,0.0805,0.7,91.159,4
spotify:track:1G5rzVAFlgMqG4gaRujcaA,"Seasons","JORDI (Deluxe)","Maroon 5",2021-06-11,168304,46,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:25Z,"流行樂","Interscope Records*",0.638,0.504,8,-8.335,1,0.0578,0.509,0.0000218,0.103,0.281,140.204,4
spotify:track:6tHQAadcluhVV4oD2IvHSk,"Lost","JORDI (Deluxe)","Maroon 5",2021-06-11,172597,49,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:27Z,"流行樂","Interscope Records*",0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,4
spotify:track:5zFglKYiknIxks8geR8rcL,"Beautiful Mistakes (feat. Megan Thee Stallion)","JORDI (Deluxe)","Maroon 5;Megan Thee Stallion",2021-06-11,227395,77,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:30Z,"流行樂","Interscope Records*",0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,4
spotify:track:37BZB0z9T8Xu7U3e65qxFy,"Save Your Tears (with Ariana Grande) (Remix)","Save Your Tears (Remix)","The Weeknd;Ariana Grande",2021-04-23,191013,81,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:32Z,"流行樂","Republic Records",0.65,0.825,0,-4.645,1,0.0325,0.0215,0.0000244,0.0936,0.593,118.091,4
spotify:track:5E75Cr0oqxGoX0YYwdC3nZ,"Peaches (Remix) feat. Ludacris, Usher & Snoop Dogg","Peaches (Remix)","Justin Bieber;USHER;Snoop Dogg;Ludacris",2021-06-07,229472,52,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:34Z,"節奏藍調,g-funk,西岸嘻哈樂,幫派饒舌,老派嘻哈樂,嘻哈樂,饒舌樂,南方嘻哈樂","RBMG/Def Jam",0.64,0.69,0,-6.489,1,0.235,0.399,0,0.463,0.59,89.906,4
spotify:track:3iYNJX4FTRGlfMQySjlGNr,"Future Nostalgia","Future Nostalgia (The Moonlight Edition)","Dua Lipa",2021-02-11,184881,54,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:37Z,"流行樂","Warner Records",0.875,0.813,7,-4.502,1,0.0579,0.00618,0,0.321,0.859,114.993,4
spotify:track:0EhpEsp4L0oRGM0vmeaN5e,"UN DIA (ONE DAY) (Feat. Tainy)","UN DIA (ONE DAY) (Feat. Tainy)","J Balvin;Dua Lipa;Bad Bunny;Tainy",2020-07-24,232253,73,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:39Z,"雷鬼動樂,拉丁音樂,流行樂,拉丁陷阱音樂,urbano latino","Universal Music Latino/ NEON16",0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169,4
spotify:track:5zqObw7wjBgL9TDiAymxPn,"Our Song","Our Song","Anne-Marie;Niall Horan",2021-05-21,163733,58,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:41Z,"","Atlantic Records/Asylum",0.595,0.759,11,-4.245,0,0.0423,0.141,0,0.172,0.515,80.953,4
spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,"Heartbreak Anthem (with David Guetta & Little Mix)","Heartbreak Anthem (with David Guetta & Little Mix)","Galantis;David Guetta;Little Mix",2021-05-20,183725,67,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:44Z,"電子舞曲","Big Beat Records",0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,4
spotify:track:3tyPOhuVnt5zd5kGfxbCyL,"Where Have You Been","Talk That Talk","Rihanna",2011-11-19,242680,79,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:46Z,"","Def Jam Recordings",0.719,0.847,0,-6.34,0,0.0919,0.00201,0.0204,0.223,0.443,127.96,4
spotify:track:0TEk9SHs3MJl8S0Qgtbzqh,"Too Much (feat. Imanbek & Usher) - Alle Farben Remix","Too Much (feat. Imanbek & Usher) [Alle Farben Remix]","Marshmello;USHER;Alle Farben;Imanbek",2021-01-22,146654,37,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:48Z,"電子舞曲,節奏藍調,slap house","Joytime Collective/RCA Records/Effective Records",0.707,0.878,6,-4.156,0,0.0534,0.00605,0.00000582,0.0946,0.559,126.102,4
spotify:track:2WnAKZefdRHxtBEkRjFOHC,"Anyone","Justice","Justin Bieber",2021-03-19,190779,73,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:52Z,"","RBMG/Def Jam",0.685,0.521,2,-8.285,1,0.0345,0.185,0.00000359,0.111,0.578,115.885,4
spotify:track:0oaY19dUwZimIgzn3ZZLZO,"2 Much","Justice","Justin Bieber",2021-03-19,152796,71,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:54Z,"","RBMG/Def Jam",0.583,0.444,9,-8.601,1,0.0456,0.593,0,0.353,0.167,119.59,4
spotify:track:2RSHsoi04658QL5xgQVov3,"Bad Liar","Origins (Deluxe)","Imagine Dragons",2018-11-09,260773,82,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:51:59Z,"","Kid Ina Korner / Interscope",0.307,0.637,3,-6.993,1,0.0569,0.0732,0,0.368,0.0805,88.693,4
spotify:track:2tB9OFgAHjAds3cqquLlvp,"Loved By You (feat. Burna Boy)","Justice","Justin Bieber;Burna Boy",2021-03-19,159250,67,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:52:03Z,"非洲節奏音樂,非洲流行音樂,afroswing,舞廳雷鬼,afropiano","RBMG/Def Jam",0.79,0.724,1,-6.972,1,0.0852,0.0696,0.00000233,0.113,0.642,101.04,4
