Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,"Drama","Drama - The 4th Mini Album","aespa",2023-11-10,214973,79,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-01-15T00:30:06Z,"韓國流行樂","SM Entertainment / Warner Records",0.644,0.872,6,-1.54,0,0.0417,0.164,0,0.363,0.378,131.016,4
spotify:track:49DTiFx70EuJLV7hDsCo6z,"WE GO UP","WE GO UP","BABYMONSTER",2025-10-10,186973,78,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-11-12T19:35:45Z,"韓國流行樂","YG Entertainment",0.678,0.718,4,-4.317,0,0.158,0.012,0,0.274,0.491,167.955,4
spotify:track:5sdQOyqq2IDhvmx2lHOpwd,"Super Shy","NewJeans 'Super Shy'","NewJeans",2023-07-07,154666,81,false,316b4f64ay46nb3vgvmu24fcsrxy,2023-07-19T02:49:49Z,"韓國流行樂","ADOR",0.776,0.817,5,-6.018,0,0.0748,0.18,0.0000344,0.146,0.515,149.921,4
spotify:track:2CspwnypzT7rcWI9RfsoSb,"Mantra","Mantra","JENNIE",2024-10-10,136627,74,true,316b4f64ay46nb3vgvmu24fcsrxy,2025-01-08T19:32:41Z,"韓國流行樂","OA Entertainment/Columbia",0.894,0.725,10,-4.984,0,0.0432,0.00434,0.0000115,0.0815,0.838,116.988,4
spotify:track:6ehWdR7cGDXnT7aKEASJxE,"3D (feat. Jack Harlow)","3D (feat. Jack Harlow)","Jung Kook;Jack Harlow",2023-09-29,201812,73,true,316b4f64ay46nb3vgvmu24fcsrxy,2024-01-15T00:30:06Z,"韓國流行樂","BIGHIT MUSIC",0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,4
spotify:track:0Md02V4hwKO5Vu5B7GD8tQ,"FOREVER","FOREVER","BABYMONSTER",2024-07-01,212734,66,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-07-12T22:19:21Z,"韓國流行樂","YG Entertainment",0.833,0.704,0,-4.364,1,0.0502,0.102,0,0.101,0.644,129.986,4
spotify:track:1nD3K6W0atK00pbJXS6JRa,"100","100","Ella Mai",2026-01-14,234608,56,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"節奏藍調","A 10 Summers/Interscope Records Release",0.312,0.65,3,-5.832,1,0.0789,0.354,0,0.209,0.398,166.259,4
spotify:track:4uOBL4DDWWVx4RhYKlPbPC,"Queencard","I feel","i-dle",2023-05-15,161240,7,false,316b4f64ay46nb3vgvmu24fcsrxy,2023-07-19T02:49:49Z,"韓國流行樂","Cube Entertainment",0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4
spotify:track:62xU1NllqWBCbkZFTXEqzF,"CEREMONY","KARMA","Stray Kids",2025-08-22,164026,78,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-09-13T19:21:03Z,"韓國流行樂,噪音音樂","Republic Records - Stray Kids",0.891,0.649,1,-2.614,1,0.102,0.00555,0,0.115,0.697,121.067,4
spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,"Who","MUSE","Jimin",2024-07-19,170887,86,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-03-17T20:46:34Z,"韓國流行樂","BIGHIT MUSIC",0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
