spotify_id,name,artist,valence,energy,danceability,tempo,acousticness,lang
3JsydWaf2Ev4ehaLUjj3SY,"Confident","Justin Bieber;Chance the Rapper",0.892,0.565,0.741,134.122,0.114,en
3qhlB30KknSejmIvZZLjOD,"End of Beginning","Djo",0.912,0.454,0.689,159.982,0.0351,en
2K87XMYnUMqLcX3zvtAF4G,"Drag Me Down","One Direction",0.595,0.703,0.731,138.111,0.111,en
0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes;Adam Levine",0.796,0.795,0.646,89.99,0.0319,en
43iIQbw5hx986dUEZbr3eN,"From The Start","Laufey",0.83,0.339,0.554,80.994,0.886,en
5pU2jicRzE4NAgXE7rOcKV,"I Will Survive","Demi Lovato",0.805,0.94,0.661,122.001,0.0106,en
3mPAhyYswPqr9dCTAdCqyV,"1-800","bbno$;Ironmouse",0.883,0.959,0.66,131.975,0.0228,en
5MMLS3xm12D7N26xlfFApr,"Runaway Baby","Bruno Mars",0.823,0.762,0.658,163.864,0.263,en
02sy7FAs8dkDNYsHp4Ul3f,"Soda Pop","Saja Boys;蔡康明;Neckwav;Danny Chung;KEVIN WOO;samUIL Lee;KPop Demon Hunters Cast",0.758,0.852,0.841,125.997,0.0816,ko
3cLXrotzCjYCkN73PewALM,"Good Goodbye","HWASA",0.796,0.59,0.655,99.564,0.295,ko
1j15Ar0qGDzIR0v3CQv3JL,"Gnarly","KATSEYE",0.663,0.828,0.775,135.021,0.153,ko
5vNRhkKd0yEAg8suGBpjeY,"APT.","ROSÉ;Bruno Mars",0.939,0.783,0.777,149.027,0.0283,ko
491ca80N1C63tpoLvAsLKb,"PSYCHO","BABYMONSTER",0.389,0.774,0.824,127.912,0.0659,ko
3t1TAfnoXfnMclelI70UaX,"Seven (feat. Latto)","Jung Kook;Latto",0.904,0.841,0.788,124.986,0.301,ko
6aJn7Cst74cj4lNIiPRgav,"Touch","KATSEYE",0.788,0.904,0.739,167.033,0.549,ko
0fK7ie6XwGxQTIkpFoWkd1,"like JENNIE","JENNIE",0.815,0.743,0.811,130.019,0.281,ko
4cSp2hlUlAwgurjIqHN592,"Ring Ring","MIRA",0.717,0.746,0.885,102.079,0.158,ko
198zDKzyktXRG1PGpidY9h,"DRIP","BABYMONSTER",0.704,0.687,0.862,119.972,0.065,ko
2N9miXnewVmUrgl6JSK1FI,"SPAGHETTI","LE SSERAFIM;j-hope",0.872,0.819,0.9,111.5,0.0813,ko
1aKvZDoLGkNMxoRYgkckZG,"Magnetic","ILLIT",0.69,0.668,0.797,131.067,0.257,ko
56Fu41EhpsPqqfDZsj3eaN,"Do It","Stray Kids",0.734,0.922,0.766,105.012,0.138,ko
09keT5ocFhEd5W5HidiUNq,"Chk Chk Boom","Stray Kids",0.844,0.74,0.925,101.994,0.166,ko
3598iBWrS4JhJqP5tHlpVK,"THIS IS FOR","TWICE",0.919,0.742,0.796,127.962,0.149,ko
3coRPMnFg2dJcPu5RMloa9,"Whiplash","aespa",0.748,0.9,0.863,126.023,0.0953,ko
79f5CcWzdkkDVD4XAIQgKr,"LALALALA","Stray Kids",0.609,0.849,0.705,125.976,0.0647,ko
6vvPecFTmWxDfEJ6cYT1wa,"Rockstar","LISA",0.568,0.628,0.668,140.053,0.129,ko
3AoEQRuFf8zVXWqSLo2UOi,"CRAZY","LE SSERAFIM",0.531,0.899,0.802,130.047,0.00953,ko
5zQUndaoBtXJ10SsApqtvw,"Strategy (feat. Megan Thee Stallion)","TWICE;Megan Thee Stallion",0.687,0.751,0.8,110.043,0.238,ko
2VqMBiaxblhhBHyB9X4ESl,"Standing Next to You","Jung Kook",0.816,0.809,0.711,106.017,0.0447,ko
1njlnn8ZKHI77Pe9szIONR,"SHEESH","BABYMONSTER",0.461,0.728,0.774,140.041,0.113,ko
5XWlyfo0kZ8LF7VSyfS4Ew,"Drama","aespa",0.378,0.872,0.644,131.016,0.164,ko
49DTiFx70EuJLV7hDsCo6z,"WE GO UP","BABYMONSTER",0.491,0.718,0.678,167.955,0.012,ko
5sdQOyqq2IDhvmx2lHOpwd,"Super Shy","NewJeans",0.515,0.817,0.776,149.921,0.18,ko
2CspwnypzT7rcWI9RfsoSb,"Mantra","JENNIE",0.838,0.725,0.894,116.988,0.00434,ko
6ehWdR7cGDXnT7aKEASJxE,"3D (feat. Jack Harlow)","Jung Kook;Jack Harlow",0.888,0.824,0.853,108.044,0.0322,ko
0Md02V4hwKO5Vu5B7GD8tQ,"FOREVER","BABYMONSTER",0.644,0.704,0.833,129.986,0.102,ko
1nD3K6W0atK00pbJXS6JRa,"100","Ella Mai",0.398,0.65,0.312,166.259,0.354,ko
4uOBL4DDWWVx4RhYKlPbPC,"Queencard","i-dle",0.692,0.834,0.815,129.989,0.0327,ko
62xU1NllqWBCbkZFTXEqzF,"CEREMONY","Stray Kids",0.697,0.649,0.891,121.067,0.00555,ko
7tI8dRuH2Yc6RuoTjxo4dU,"Who","Jimin",0.838,0.756,0.66,116.034,0.00289,ko
7GDgpad2BQVuDUzaxHFakc,"LIKE THAT","BABYMONSTER",0.76,0.5,0.871,101.959,0.32,ko
6tuVceHAyUCDRhbEC2634b,"masked up (feat. YoungBoy Never Broke Again)","Nettspend;YoungBoy Never Broke Again",0.641,0.949,0.267,71.947,0.000745,ko
5Q1tv4GTxP3IJeGMOKdrFO,"MEGAVERSE","Stray Kids",0.576,0.73,0.613,160.051,0.00875,ko
4lR8sYGMGZPvthF2yUfo7T,"Smart","LE SSERAFIM",0.594,0.675,0.799,113.076,0.115,ko
1OhIn0L6iofnk5bjalWfHq,"Sudden Shower","ECLIPSE",0.217,0.506,0.469,133.403,0.587,ko
3AjfuVk6olyesS7cVfofBE,"HOT SAUCE","BABYMONSTER",0.811,0.86,0.951,132.975,0.0122,ko
7mpdNiaQvygj2rHoxkzMfa,"Bite Me","ENHYPEN",0.687,0.781,0.795,104.972,0.285,ko
74X2u8JMVooG2QbjRxXwR8,"Perfect Night","LE SSERAFIM",0.502,0.82,0.697,136.054,0.1,ko
56v8WEnGzLByGsDAXDiv4d,"ETA","NewJeans",0.841,0.749,0.812,134.971,0.108,ko
7AKwWqnoMmvCqBQtcdIECG,"ExtraL (feat. Doechii)","JENNIE;Doechii",0.699,0.726,0.758,139.932,0.0177,ko
6LuvVxHXQDtsPxtE07Ycbe,"S-Class","Stray Kids",0.672,0.781,0.886,104.996,0.0895,ko
6je5cTal6PyeITNrOzkCoS,"Welcome to the Show","DAY6",0.377,0.758,0.595,132.01,0.0378,ko
3entdIWiOuQfcXIkJEABsV,"Really Like You","BABYMONSTER",0.798,0.587,0.828,97.018,0.152,ko
4WFfPxJv1KRekG6mxn837K,"EYES CLOSED (with ZAYN)","JISOO;ZAYN",0.376,0.737,0.556,75.034,0.2,ko
02CrqOYzrJR8fYOffhvRZZ,"number one girl","ROSÉ",0.135,0.377,0.288,175.43,0.288,ko
3TQHPUEVdvdq8ejwEcHUlL,"If I have you only (My love X Nerd Connection)","Nerd Connection",0.137,0.353,0.54,137.859,0.332,ko
5rfABuYyz0m1IEvLZ52aqv,"Diamonds","Edward Maya;Yohani",0.0767,0.958,0.747,125.062,0.00505,ko
4CPuDVC8jhhK6lA2DIt8Cf,"Born Again (feat. Doja Cat & RAYE)","LISA;Doja Cat;RAYE",0.374,0.777,0.687,115.01,0.0686,ko
4QvdQaaVVxFcAB9CTaA9Hl,"You & Me","JENNIE",0.556,0.572,0.788,111.996,0.015,ko
351KkakA2YtGEXqSEIIasy,"Supernova","aespa",0.368,0.747,0.744,120.077,0.00691,ko
3AOf6YEpxQ894FmrwI9k96,"Super","SEVENTEEN",0.347,0.88,0.771,137.018,0.162,ko
0QICKhP44TRnb4EurQ3tN9,"BILLIONAIRE","BABYMONSTER",0.695,0.632,0.951,104.961,0.226,ko
5sjnkOfTLCLNfkkchI2re2,"UP - KARINA Solo","aespa",0.382,0.781,0.777,98.97,0.0137,ko
6i8MbzVn4nzyjUcSoVcz7B,"Armageddon","aespa",0.469,0.789,0.695,91.991,0.0651,ko
0aZG8KWrpRnsGL0loUkfSj,"plot twist","TWS",0.73,0.71,0.808,112.066,0.0102,ko
7ov3TDp5D00Rnu5R1viX4w,"New Woman (feat. ROSALÍA)","LISA;ROSALÍA",0.314,0.854,0.477,140.515,0.0858,ko
16iOs2f9G9qRknDgM9cfAw,"Who is she","KISS OF LIFE",0.633,0.648,0.8,134.018,0.112,ko
3bmpXHVie1GTy37OkXJ7Vc,"2.0","BTS",0.27,0.542,0.929,130.026,0.018,ko
6Pv2Cowet3sAcKbGrcgHm0,"Eye-Poppin’","KickFlip",0.634,0.863,0.595,90.579,0.0183,ko
02PyZNzTdzA1Nbxycnv93V,"Body to Body","BTS",0.495,0.788,0.674,120.016,0.113,ko
2bAQsNqdo62T8akkIvWzGl,"RUDE!","Hearts2Hearts",0.467,0.784,0.78,128.076,0.169,ko
0KmrKOdScRDVYwWS8hkkdv,"FYA","BTS",0.457,0.817,0.705,128.955,0.00127,ko
0mYa3o6tlUN5HRippmKmwH,"GO","BLACKPINK",0.203,0.589,0.611,103.124,0.0232,ko
1k0JAiH11gHL9dc5dfQjQr,"NOT CUTE ANYMORE","ILLIT",0.949,0.736,0.94,98.986,0.243,ko
5jh0xRA7huSeMxCPAmyCav,"BANG BANG","IVE",0.374,0.908,0.628,152.181,0.0105,ko
20QI1DhCFz7pN8rATkNguv,"To Reach You","10公分",0.416,0.824,0.571,125.979,0.0139,ko
4i0HNuFEH6P6K4UnsY5uUh,"Blue Valentine","NMIXX",0.544,0.857,0.592,159.436,0.161,ko
